feature,importance,importance_pct,cumulative_pct
ohe__organization_type_Other,42,0.13587396072595515,95.77496684028341
ohe__organization_type_School,42,0.13587396072595515,95.91084080100937
binary__ext_std_missing,40,0.1294037721199573,96.04024457312933
ohe__occupation_type_Drivers,40,0.1294037721199573,96.16964834524929
ohe__organization_type_Government,40,0.1294037721199573,96.29905211736924
ohe__organization_type_Medicine,40,0.1294037721199573,96.4284558894892
ohe__name_housing_type_Office apartment,40,0.1294037721199573,96.55785966160916
ohe__organization_type_Business Entity Type 1,38,0.12293358351395942,96.68079324512311
ohe__organization_type_Kindergarten,38,0.12293358351395942,96.80372682863707
ohe__name_family_status_Widow,37,0.1196984892109605,96.92342531784803
ohe__organization_type_Transport: type 3,37,0.1196984892109605,97.04312380705899
binary__ext_source_1_missing,36,0.11646339490796156,97.15958720196696
ohe__occupation_type_Managers,36,0.11646339490796156,97.27605059687492
ohe__name_type_suite_other,34,0.10999320630196371,97.38604380317689
ohe__organization_type_Industry: type 9,33,0.10675811199896477,97.49280191517586
ohe__name_housing_type_Municipal apartment,32,0.10352301769596584,97.59632493287182
ohe__name_family_status_Separated,30,0.09705282908996797,97.6933777619618
ohe__organization_type_Trade: type 2,29,0.09381773478696905,97.78719549674877
ohe__occupation_type_Cleaning staff,26,0.08411245187797224,97.87130794862674
ohe__organization_type_Police,26,0.08411245187797224,97.9554204005047
ohe__organization_type_Security Ministries,25,0.0808773575749733,98.03629775807968
ohe__organization_type_Realtor,25,0.0808773575749733,98.11717511565466
ohe__organization_type_Hotel,24,0.07764226327197438,98.19481737892663
ohe__occupation_type_Medicine staff,23,0.07440716896897544,98.2692245478956
ohe__occupation_type_Security staff,22,0.07117207466597651,98.34039662256158
ohe__organization_type_Legal Services,22,0.07117207466597651,98.41156869722757
ohe__organization_type_Transport: type 2,21,0.06793698036297757,98.47950567759054
ohe__name_income_type_Pensioner,20,0.06470188605997865,98.54420756365052
ohe__name_housing_type_Rented apartment,20,0.06470188605997865,98.6089094497105
ohe__name_housing_type_With parents,19,0.06146679175697971,98.67037624146748
ohe__organization_type_Trade: type 7,18,0.05823169745398078,98.72860793892146
ohe__organization_type_Business Entity Type 2,18,0.05823169745398078,98.78683963637543
ohe__occupation_type_Low-skill Laborers,18,0.05823169745398078,98.84507133382941
ohe__organization_type_Bank,17,0.05499660315098186,98.90006793698039
ohe__occupation_type_Cooking staff,16,0.05176150884798292,98.95182944582838
ohe__organization_type_Trade: type 3,16,0.05176150884798292,99.00359095467637
pass__occupation_type_missing,16,0.05176150884798292,99.05535246352436
ohe__organization_type_Trade: type 6,15,0.048526414544983985,99.10387887806934
binary__ext_source_3_missing,14,0.04529132024198505,99.14917019831132
ohe__organization_type_Postal,13,0.04205622593898612,99.19122642425032
ohe__organization_type_Security,12,0.03882113163598719,99.2300475558863
ohe__organization_type_Industry: type 3,12,0.03882113163598719,99.26886868752229
ohe__organization_type_Industry: type 11,12,0.03882113163598719,99.30768981915827
ohe__organization_type_Transport: type 1,12,0.03882113163598719,99.34651095079425
binary__flag_emp_phone,12,0.03882113163598719,99.38533208243024
ohe__organization_type_Transport: type 4,11,0.035586037332988256,99.42091811976323
ohe__organization_type_Industry: type 4,11,0.035586037332988256,99.45650415709622
ohe__organization_type_Industry: type 12,11,0.035586037332988256,99.49209019442921
ohe__organization_type_Restaurant,10,0.032350943029989324,99.5244411374592
ohe__organization_type_Services,10,0.032350943029989324,99.5567920804892
ohe__organization_type_Cleaning,10,0.032350943029989324,99.5891430235192
ohe__organization_type_Industry: type 7,10,0.032350943029989324,99.6214939665492
ohe__name_type_suite_Other_B,9,0.02911584872699039,99.65060981527618
ohe__name_type_suite_Other_A,9,0.02911584872699039,99.67972566400317
ohe__occupation_type_Waiters/barmen staff,9,0.02911584872699039,99.70884151273016
ohe__organization_type_Telecom,9,0.02911584872699039,99.73795736145715
ohe__occupation_type_Private service staff,8,0.02588075442399146,99.76383811588114
ohe__organization_type_Trade: type 1,8,0.02588075442399146,99.78971887030514
ohe__organization_type_University,7,0.022645660120992527,99.81236453042612
ohe__organization_type_Agriculture,7,0.022645660120992527,99.83501019054711
pass__ext_std_missing,7,0.022645660120992527,99.8576558506681
ohe__organization_type_Industry: type 5,6,0.019410565817993594,99.87706641648609
ohe__organization_type_Housing,6,0.019410565817993594,99.89647698230408
pass__ext_source_1_missing,5,0.016175471514994662,99.91265245381908
ohe__occupation_type_IT staff,4,0.01294037721199573,99.92559283103107
ohe__occupation_type_Secretaries,4,0.01294037721199573,99.93853320824306
pass__ext_source_3_missing,4,0.01294037721199573,99.95147358545505
ohe__organization_type_Emergency,3,0.009705282908996797,99.96117886836404
ohe__organization_type_Insurance,3,0.009705282908996797,99.97088415127304
ohe__organization_type_Electricity,2,0.006470188605997865,99.97735433987904
ohe__organization_type_Industry: type 1,2,0.006470188605997865,99.98382452848504
ohe__organization_type_Culture,2,0.006470188605997865,99.99029471709105
ohe__organization_type_Industry: type 2,1,0.0032350943029989324,99.99352981139404
binary__organization_type_missing,1,0.0032350943029989324,99.99676490569703
ohe__organization_type_Mobile,1,0.0032350943029989324,100.00000000000003
pass__name_type_suite_missing,0,0.0,100.00000000000003
binary__employed_to_age_ratio_missing,0,0.0,100.00000000000003
binary__def_30_cnt_social_circle_missing,0,0.0,100.00000000000003
pass__obs_30_cnt_social_circle_missing,0,0.0,100.00000000000003
ohe__name_type_suite_Group of people,0,0.0,100.00000000000003
pass__employed_to_age_ratio_missing,0,0.0,100.00000000000003
binary__obs_30_cnt_social_circle_missing,0,0.0,100.00000000000003
pass__organization_type_missing,0,0.0,100.00000000000003
pass__def_30_cnt_social_circle_missing,0,0.0,100.00000000000003
